WIID,Description,Type,Status,Date
106823559,Calculate Client Security Hash,WI5,Completed,2017-09-04
106823581,Process Vendor Invoice,WI3,Completed,2025-05-17
106823620,Research Client Check Copy,WI2,Open,2022-07-29
106823634,Verify Account Position,WI1,Completed,2017-12-19
106823550,Calculate Client Security Hash,WI5,Completed,2018-05-01
106823587,Process Vendor Invoice,WI3,Completed,2019-12-01
106823584,Process Vendor Invoice,WI3,Completed,2024-04-10
106823624,Verify Account Position,WI1,Completed,2018-10-13
106823610,Research Client Check Copy,WI2,Open,2019-10-17
106823605,Research Client Check Copy,WI2,Open,2023-07-09
106823641,Verify Account Position,WI1,Open,2023-12-03
106823585,Process Vendor Invoice,WI3,Completed,2023-01-14
106823560,Generate Yearly Report for Vendor,WI4,Completed,2018-12-08
106823636,Verify Account Position,WI1,Open,2020-06-17
106823601,Research Client Check Copy,WI2,Open,2023-04-12
106823556,Calculate Client Security Hash,WI5,Completed,2018-12-29
106823570,Generate Yearly Report for Vendor,WI4,Completed,2022-12-04
106823568,Generate Yearly Report for Vendor,WI4,Completed,2018-04-18
106823598,Research Client Check Copy,WI2,Open,2022-12-22
106823614,Research Client Check Copy,WI2,Open,2020-11-11
106823602,Research Client Check Copy,WI2,Open,2024-02-29
106823554,Calculate Client Security Hash,WI5,Completed,2021-01-19
106823607,Research Client Check Copy,WI2,Open,2025-02-19
106823631,Verify Account Position,WI1,Open,2023-02-16
106823637,Verify Account Position,WI1,Open,2024-02-07
106823603,Research Client Check Copy,WI2,Open,2023-11-09
106823590,Process Vendor Invoice,WI3,Completed,2022-10-11
106823586,Process Vendor Invoice,WI3,Completed,2018-01-15
106823617,Research Client Check Copy,WI2,Open,2017-10-25
106823582,Process Vendor Invoice,WI3,Completed,2021-10-26
106823578,Generate Yearly Report for Vendor,WI4,Completed,2023-12-25
106823608,Research Client Check Copy,WI2,Open,2020-05-28
106823593,Process Vendor Invoice,WI3,Completed,2018-06-06
106823579,Process Vendor Invoice,WI3,Completed,2019-11-13
106823572,Generate Yearly Report for Vendor,WI4,Completed,2022-03-16
106823561,Generate Yearly Report for Vendor,WI4,Completed,2024-02-22
106823589,Process Vendor Invoice,WI3,Completed,2024-10-14
106823609,Research Client Check Copy,WI2,Open,2023-07-31
106823638,Verify Account Position,WI1,Open,2021-08-16
106823575,Generate Yearly Report for Vendor,WI4,Completed,2022-02-10
106823566,Generate Yearly Report for Vendor,WI4,Completed,2021-01-04
106823606,Research Client Check Copy,WI2,Open,2023-03-07
106823588,Process Vendor Invoice,WI3,Completed,2020-08-16
106823574,Generate Yearly Report for Vendor,WI4,Completed,2022-05-28
106823633,Verify Account Position,WI1,Open,2022-08-31
106823635,Verify Account Position,WI1,Open,2023-05-03
106823597,Research Client Check Copy,WI2,Open,2024-11-01
106823622,Verify Account Position,WI1,Open,2024-07-08
106823569,Generate Yearly Report for Vendor,WI4,Completed,2024-01-10
106823629,Verify Account Position,WI1,Open,2023-11-18
106823604,Research Client Check Copy,WI2,Open,2024-02-21
106823594,Research Client Check Copy,WI2,Open,2024-12-01
106823627,Verify Account Position,WI1,Open,2024-09-30
106823557,Calculate Client Security Hash,WI5,Completed,2017-09-16
106823625,Verify Account Position,WI1,Open,2024-09-05
106823553,Calculate Client Security Hash,WI5,Completed,2020-08-17
106823599,Research Client Check Copy,WI2,Open,2019-12-22
106823577,Generate Yearly Report for Vendor,WI4,Completed,2019-10-07
106823639,Verify Account Position,WI1,Open,2019-11-12
106823623,Verify Account Position,WI1,Open,2023-02-01
106823567,Generate Yearly Report for Vendor,WI4,Completed,2017-03-22
106823628,Verify Account Position,WI1,Open,2021-06-30
106823640,Verify Account Position,WI1,Open,2017-11-16
106823596,Research Client Check Copy,WI2,Open,2019-03-30
106823580,Process Vendor Invoice,WI3,Completed,2020-07-28
106823630,Verify Account Position,WI1,Open,2020-01-30
106823626,Verify Account Position,WI1,Open,2023-05-17
106823576,Generate Yearly Report for Vendor,WI4,Completed,2023-11-27
106823618,Research Client Check Copy,WI2,Open,2017-03-14
106823583,Process Vendor Invoice,WI3,Completed,2023-05-12
106823613,Research Client Check Copy,WI2,Open,2021-04-04
106823563,Generate Yearly Report for Vendor,WI4,Completed,2022-10-01
106823573,Generate Yearly Report for Vendor,WI4,Completed,2017-12-23
106823616,Research Client Check Copy,WI2,Open,2024-02-04
106823551,Calculate Client Security Hash,WI5,Completed,2024-07-20
106823571,Generate Yearly Report for Vendor,WI4,Completed,2017-12-21
106823619,Research Client Check Copy,WI2,Open,2024-06-29
106823600,Research Client Check Copy,WI2,Open,2018-06-29
106823555,Calculate Client Security Hash,WI5,Completed,2018-02-19
106823562,Generate Yearly Report for Vendor,WI4,Completed,2022-07-07
106823611,Research Client Check Copy,WI2,Open,2021-11-01
106823595,Research Client Check Copy,WI2,Open,2019-06-27
106823621,Verify Account Position,WI1,Open,2024-11-17
106823565,Generate Yearly Report for Vendor,WI4,Completed,2022-06-07
106823591,Process Vendor Invoice,WI3,Completed,2024-01-10
106823632,Verify Account Position,WI1,Open,2023-04-23
106823558,Calculate Client Security Hash,WI5,Completed,2023-06-03
106823552,Calculate Client Security Hash,WI5,Completed,2023-07-17
106823564,Generate Yearly Report for Vendor,WI4,Completed,2019-04-22
106823615,Research Client Check Copy,WI2,Open,2025-07-10
106823612,Research Client Check Copy,WI2,Open,2018-10-15
106823592,Process Vendor Invoice,WI3,Completed,2018-11-19
